No,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Zeta_in_Water (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Cell_Viability (%)
80,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000.0,Live/Dead,CalceinAM,44.265
243,Ag,I,Sphere,None,Chemical Reduction,Negative,17.0,36.4,-23.1,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,24,1.35,MTS,TetrazoliumSalt,84.91
244,Ag,I,Sphere,None,Chemical Reduction,Negative,17.0,36.4,-23.1,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,24,2.7,MTS,TetrazoliumSalt,82.481
245,Ag,I,Sphere,None,Chemical Reduction,Negative,17.0,36.4,-23.1,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,24,5.39,MTS,TetrazoliumSalt,77.621
246,Ag,I,Sphere,None,Chemical Reduction,Negative,17.0,36.4,-23.1,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,24,13.48,MTS,TetrazoliumSalt,27.621
247,Ag,I,Sphere,None,Chemical Reduction,Negative,17.0,36.4,-23.1,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,48,1.35,MTS,TetrazoliumSalt,86.189
248,Ag,I,Sphere,None,Chemical Reduction,Negative,17.0,36.4,-23.1,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,48,2.7,MTS,TetrazoliumSalt,85.55
249,Ag,I,Sphere,None,Chemical Reduction,Negative,17.0,36.4,-23.1,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,48,5.39,MTS,TetrazoliumSalt,84.655
250,Ag,I,Sphere,None,Chemical Reduction,Negative,17.0,36.4,-23.1,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,48,13.48,MTS,TetrazoliumSalt,8.0563
251,Ag,I,Sphere,PVP,Chemical Reduction,Negative,17.0,27.02,-18.4,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,24,1.35,MTS,TetrazoliumSalt,102.89
252,Ag,I,Sphere,PVP,Chemical Reduction,Negative,17.0,27.02,-18.4,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,24,2.7,MTS,TetrazoliumSalt,95.921
253,Ag,I,Sphere,PVP,Chemical Reduction,Negative,17.0,27.02,-18.4,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,24,5.39,MTS,TetrazoliumSalt,75.395
254,Ag,I,Sphere,PVP,Chemical Reduction,Negative,17.0,27.02,-18.4,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,24,13.48,MTS,TetrazoliumSalt,17.895
255,Ag,I,Sphere,PVP,Chemical Reduction,Negative,17.0,27.02,-18.4,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,48,1.35,MTS,TetrazoliumSalt,102.89
256,Ag,I,Sphere,PVP,Chemical Reduction,Negative,17.0,27.02,-18.4,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,48,2.7,MTS,TetrazoliumSalt,77.632
257,Ag,I,Sphere,PVP,Chemical Reduction,Negative,17.0,27.02,-18.4,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,48,5.39,MTS,TetrazoliumSalt,32.763
258,Ag,I,Sphere,PVP,Chemical Reduction,Negative,17.0,27.02,-18.4,KEC,20000.0,H,Human,Skin,Epithelial,Adult,P,48,13.48,MTS,TetrazoliumSalt,5.3947
259,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,0.008,MTT,TetrazoliumSalt,99.883
260,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,0.08,MTT,TetrazoliumSalt,98.659
261,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,0.8,MTT,TetrazoliumSalt,96.91
262,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,8.0,MTT,TetrazoliumSalt,95.335
263,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,80.0,MTT,TetrazoliumSalt,93.061
264,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,0.008,MTT,TetrazoliumSalt,98.659
265,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,0.08,MTT,TetrazoliumSalt,99.883
266,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,0.8,MTT,TetrazoliumSalt,88.338
267,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,8.0,MTT,TetrazoliumSalt,83.44
268,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,80.0,MTT,TetrazoliumSalt,80.466
269,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,0.008,MTT,TetrazoliumSalt,97.609
270,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,0.08,MTT,TetrazoliumSalt,96.385
271,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,0.8,MTT,TetrazoliumSalt,85.015
272,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,8.0,MTT,TetrazoliumSalt,74.169
273,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,80.0,MTT,TetrazoliumSalt,68.222
274,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,0.008,NRU,NeutralRed,98.754
275,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,0.08,NRU,NeutralRed,99.344
276,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,0.8,NRU,NeutralRed,92.262
277,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,8.0,NRU,NeutralRed,91.672
278,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,6,80.0,NRU,NeutralRed,90.295
279,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,0.008,NRU,NeutralRed,97.574
280,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,0.08,NRU,NeutralRed,93.836
281,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,0.8,NRU,NeutralRed,88.328
282,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,8.0,NRU,NeutralRed,85.377
283,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,24,80.0,NRU,NeutralRed,77.508
284,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,0.008,NRU,NeutralRed,97.574
285,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,0.08,NRU,NeutralRed,93.049
286,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,0.8,NRU,NeutralRed,85.77
287,TiO2,I,Iregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,8.0,NRU,NeutralRed,74.951
288,TiO2,I,Irregular,None,Commercial,Negative,50.0,124.9,-17.6,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,48,80.0,NRU,NeutralRed,65.311
494,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,225.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,300.0,MTT,TetrazoliumSalt,89.009
495,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,+,230.0,225.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,1000.0,MTT,TetrazoliumSalt,82.358
496,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,225.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,1500.0,MTT,TetrazoliumSalt,76.274
497,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,225.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,3000.0,MTT,TetrazoliumSalt,74.151
498,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,103.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,5000.0,MTT,TetrazoliumSalt,74.575
499,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,103.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,300.0,MTT,TetrazoliumSalt,85.613
500,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,103.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,1000.0,MTT,TetrazoliumSalt,-73.726
501,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,103.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,1500.0,MTT,TetrazoliumSalt,72.453
502,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,103.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,3000.0,MTT,TetrazoliumSalt,63.255
503,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,103.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,5000.0,MTT,TetrazoliumSalt,57.877
504,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,201.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,300.0,MTT,TetrazoliumSalt,85.896
505,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,201.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,1000.0,MTT,TetrazoliumSalt,65.236
506,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,201.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,1500.0,MTT,TetrazoliumSalt,63.821
507,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,201.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,3000.0,MTT,TetrazoliumSalt,63.538
508,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,201.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,72,5000.0,MTT,TetrazoliumSalt,65.236
509,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,218.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,200.0,MTT,TetrazoliumSalt,102.57
510,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,218.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,500.0,MTT,TetrazoliumSalt,101.47
511,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,218.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,1000.0,MTT,TetrazoliumSalt,101.32
512,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,218.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,3000.0,MTT,TetrazoliumSalt,98.78
513,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,218.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,5000.0,MTT,TetrazoliumSalt,95.641
514,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,227.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,100.12
515,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,227.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,500.0,MTT,TetrazoliumSalt,98.63
516,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,227.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,1000.0,MTT,TetrazoliumSalt,97.285
517,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,227.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,3000.0,MTT,TetrazoliumSalt,90.859
518,PLGA,O,Sphere,Chitosan,Emulsion-Solvent Evaporation ,Positive,230.0,227.0,32,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,5000.0,MTT,TetrazoliumSalt,88.02
519,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,102.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,200.0,MTT,TetrazoliumSalt,113.08
520,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,102.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,500.0,MTT,TetrazoliumSalt,119.95
521,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,102.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,1000.0,MTT,TetrazoliumSalt,126.63
522,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,102.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,3000.0,MTT,TetrazoliumSalt,113.45
523,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,102.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,5000.0,MTT,TetrazoliumSalt,103.33
524,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,101.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,102.97
525,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,101.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,500.0,MTT,TetrazoliumSalt,100.26
526,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,101.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,1000.0,MTT,TetrazoliumSalt,96.465
527,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,101.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,3000.0,MTT,TetrazoliumSalt,87.432
528,PLGA,O,Sphere,Poloxamer,Emulsion-Solvent Evaporation ,Negative,105.0,101.0,-24,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,5000.0,MTT,TetrazoliumSalt,89.239
529,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,205.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,200.0,MTT,TetrazoliumSalt,98.143
530,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,205.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,500.0,MTT,TetrazoliumSalt,94.286
531,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,205.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,1000.0,MTT,TetrazoliumSalt,98.857
532,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,205.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,3000.0,MTT,TetrazoliumSalt,95.143
533,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,205.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,4,5000.0,MTT,TetrazoliumSalt,91.857
534,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,203.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,95.714
535,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,203.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,500.0,MTT,TetrazoliumSalt,90.143
536,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,203.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,1000.0,MTT,TetrazoliumSalt,86.857
537,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,203.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,3000.0,MTT,TetrazoliumSalt,82.571
538,PLGA,O,Sphere,PVA,Emulsion-Solvent Evaporation ,Negative,230.0,203.0,-5,Calu-3,25000.0,H,Human,Lung,Epithelial,Adult,L,24,5000.0,MTT,TetrazoliumSalt,80.143
678,SiO2,I,Sphere,None,Commercial,Negative,15.0,128.0,-25,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,72,25.0,MTT,TetrazoliumSalt,88.973
679,SiO2,I,Sphere,None,Commercial,Negative,15.0,128.0,-25,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,72,50.0,MTT,TetrazoliumSalt,76.933
680,SiO2,I,Sphere,None,Commercial,Negative,15.0,128.0,-25,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,72,100.0,MTT,TetrazoliumSalt,59.949
681,SiO2,I,Sphere,None,Commercial,Negative,15.0,128.0,-25,A431,10000.0,H,Human,Skin,Epithelial,Adult,L,72,200.0,MTT,TetrazoliumSalt,48.923
682,SiO2,I,Sphere,None,Commercial,Negative,15.0,128.0,-25,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,72,25.0,MTT,TetrazoliumSalt,87.072
683,SiO2,I,Sphere,None,Commercial,Negative,15.0,128.0,-25,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,72,50.0,MTT,TetrazoliumSalt,74.018
684,SiO2,I,Sphere,None,Commercial,Negative,15.0,128.0,-25,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,72,100.0,MTT,TetrazoliumSalt,58.048
685,SiO2,I,Sphere,None,Commercial,Negative,15.0,128.0,-25,A549,10000.0,H,Human,Lung,Epithelial,Adult,L,72,200.0,MTT,TetrazoliumSalt,44.994
686,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,1.0,MTT,TetrazoliumSalt,96.842
687,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,5.0,MTT,TetrazoliumSalt,95.0
688,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,10.0,MTT,TetrazoliumSalt,91.184
689,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,25.0,MTT,TetrazoliumSalt,79.342
690,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,50.0,MTT,TetrazoliumSalt,71.316
691,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,100.0,MTT,TetrazoliumSalt,63.816
692,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,200.0,MTT,TetrazoliumSalt,55.263
693,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,1.0,NRU,NeutralRed,96.708
694,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,5.0,NRU,NeutralRed,95.61
695,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,10.0,NRU,NeutralRed,92.455
696,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,25.0,NRU,NeutralRed,78.326
697,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,50.0,NRU,NeutralRed,71.605
698,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,100.0,NRU,NeutralRed,65.021
699,SiO2,I,Sphere,None,Commercial,Negative,14.23,128.0,-25,HepG2,10000.0,H,Human,Liver,Epithelial,Adult,L,72,200.0,NRU,NeutralRed,58.848
748,SiO2,I,Sphere,None,Sol-Gel Method,Negative,21.06,37.82,-24.5,A549,50000.0,H,Human,Lung,Epithelial,Adult,L,24,10.0,MTT,TetrazoliumSalt,76.923
749,SiO2,I,Sphere,None,Sol-Gel Method,Negative,21.06,37.82,-24.5,A549,50000.0,H,Human,Lung,Epithelial,Adult,L,24,50.0,MTT,TetrazoliumSalt,67.494
750,SiO2,I,Sphere,None,Sol-Gel Method,Negative,21.06,37.82,-24.5,A549,50000.0,H,Human,Lung,Epithelial,Adult,L,24,100.0,MTT,TetrazoliumSalt,61.29
751,SiO2,I,Sphere,None,Sol-Gel Method,Negative,21.06,37.82,-24.5,A549,50000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,62.283
